# Rime user dictionary
#@/db_name	wubi86.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	15721
#@/user_id	0bb3099a-66e4-4762-83f5-648368fe1502
bu 	联	c=2 d=1.6994e-025 t=15721
bud 	联	c=11 d=1.37119e-008 t=15721
buje 	联盟	c=2 d=3.17166e-013 t=15721
buje 	聪明	c=1 d=1.59777e-013 t=15721
butx 	联系	c=1 d=2.47614e-020 t=15721
bv 	限	c=11 d=3.22158e-005 t=15721
bvrm 	限制	c=3 d=2.5126e-006 t=15721
bw 	队	c=9 d=4.7667e-005 t=15721
bwdj 	除非	c=1 d=0.449329 t=15721
bwf 	附	c=3 d=0.45612 t=15721
bwt 	除	c=52 d=2.23176e-005 t=15721
bwwd 	阶段	c=3 d=0.267135 t=15721
bxye 	防弹衣	c=1 d=1.09228e-009 t=15721
by 	防	c=1 d=1 t=15721
bybb 	孩子	c=1 d=2.94258e-021 t=15721
byhh 	防止	c=1 d=0.00778933 t=15721
byn 	防	c=1 d=0.000142667 t=15721
bynw 	孩	c=1 d=2.59011e-020 t=15721
c 	以	c=103 d=2.59259 t=15721
cafc 	驱动	c=2 d=8.57036e-009 t=15721
cal 	劲	c=1 d=7.63769e-007 t=15721
caln 	劲	c=1 d=7.5996e-007 t=15721
caq 	驱	c=8 d=2.46086e-006 t=15721
cbad 	预期	c=2 d=2.57544e-012 t=15721
cbc 	骤	c=1 d=4.81484e-020 t=15721
cbci 	骤	c=2 d=3.37517e-017 t=15721
cbdm 	预	c=11 d=5.39704e-010 t=15721
cblf 	预置	c=1 d=6.0669e-010 t=15721
cbxu 	柔弱	c=1 d=6.94551e-007 t=15721
cc 	双	c=17 d=0.000101447 t=15721
ccc 	又	c=23 d=0.670327 t=15721
cccc 	又	c=7 d=0.744532 t=15721
ccw 	骏	c=1 d=0.0125881 t=15721
ccy 	双	c=1 d=4.56586e-013 t=15721
ccy 	驭	c=6 d=1.68764e-007 t=15721
cd 	参	c=3 d=0.0100518 t=15721
cde 	参	c=14 d=0.00606634 t=15721
cdft 	参考	c=1 d=0.000151489 t=15721
cdjv 	参照	c=1 d=1.65181e-022 t=15721
cdmq 	参见	c=4 d=0.00386807 t=15721
cdov 	参数	c=29 d=0.00365805 t=15721
ce 	能	c=14 d=0.23229 t=15721
cefg 	勇士	c=2 d=1.43802e-009 t=15721
cefp 	通过	c=27 d=0.362471 t=15721
ceip 	通常	c=4 d=0.0018363 t=15721
cejg 	能量	c=1 d=8.64259e-020 t=15721
cel 	勇	c=3 d=1.32857e-006 t=15721
celt 	能力	c=7 d=0.00285124 t=15721
cenb 	勇敢	c=1 d=7.52398e-007 t=15721
cep 	通	c=8 d=0.000138403 t=15721
cepf 	勇冠	c=3 d=4.4501e-005 t=15721
cepk 	通	c=12 d=1.07543e-007 t=15721
ceqk 	能够	c=14 d=0.0700448 t=15721
cex 	能	c=124 d=0.862237 t=15721
cexx 	能	c=1 d=0.891366 t=15721
cf 	对	c=163 d=0.544281 t=15721
